0,3.562194522E7
1,3.074888641E7
2,2.851092441E7
3,2.796685697E7
4,3.165103777E7
5,3.363016519E7
6,2.595376936E7
7,3.359203516E7
8,3.171089082E7
9,3.403207003E7
0,3.162322E7
1,2762691.0
2,8063498.0
3,2318833.0
4,1865383.0
5,1850125.0
6,1740399.0
7,1856912.0
8,4269232.0
9,91973.0
0,1246719.0
1,1020917.0
2,1200142.0
3,1111818.0
4,1145384.0
5,1087330.0
6,1063741.0
7,1031259.0
8,819427.0
9,957835.0
0,2975594.0
1,2442361.0
2,2821037.0
3,2985309.0
4,4466701.0
5,3009659.0
6,2844860.0
7,3120975.0
8,2443860.0
9,2394276.0
0,2231064.0
1,2305294.0
2,3101931.0
3,2325528.0
4,2735899.0
5,3223172.0
6,3185463.0
7,6459458.0
8,2697150.0
9,2571284.0
0,2633241.0
1,2302227.0
2,7296472.0
3,2852908.0
4,2687582.0
5,2968227.0
6,2926465.0
7,2962363.0
8,2735231.0
9,1996875.0
0,2601734.0
1,2805389.0
2,2645981.0
3,4052113.0
4,2670603.0
5,2641484.0
6,2309363.0
7,2440841.0
8,2503673.0
9,2590545.0
0,2324136.0
1,2523443.0
2,2515789.0
3,2636802.0
4,2520219.0
5,2288816.0
6,2704277.0
7,2354517.0
8,2769170.0
9,2283440.0
0,2590888.0
1,2361503.0
2,3440507.0
3,2173849.0
4,3024769.0
5,2721606.0
6,2900835.0
7,2235512.0
8,3049387.0
9,2360362.0
0,4658445.0
1,2817072.0
2,4292568.0
3,2897108.0
4,2505271.0
5,4289495.0
6,4806122.0
7,3160193.0
8,2556915.0
9,2780613.0
